"Story","Title","Result","Date","Stability","Duration (s)"
"As a user, I want login in the Star Sharp Page so i should create a new meetings","Create a new  Bussines unit","SUCCESS","2022-12-09T14:47:02.02-05:00[America/Bogota]","0.0","22.28"
"login in sharsharp page and create a new business unit and afer this create a new meeting","login in sharsharp page and create a new business unit and afer this create a new meeting","FAILURE","2022-12-01T15:58:24.713-05:00[America/Bogota]","0.0","16.31"
"Academy Choucair","Search for automation course","SUCCESS","2022-11-30T14:53:15.531-05:00[America/Bogota]","0.0","16.01"
